Artist,Song Name,Song Rating,Song Hits,Page Type,Difficulty,Key,Capo,Tuning
Foo Fighters,Everlong ,181,"1,899,359",Tab,intermediate,Db,No Capo, D A D G B 
Katy Perry,The One That Got Away,961,"1,897,027",Chords,intermediate,Db,No Capo, E A D G B 
John Lennon,Happy Xmas War Is Over ,961,"1,889,378",Chords,novice, G,No Capo, E A D G B E
Bob Dylan,Blowin In The Wind,"3,453","1,886,420",Chords,novice, D, 7th fret, E A D G B E
Joe Anderson,Hey Jude,938,"1,883,247",Chords,novice, D, 1st fret, E A D G B E
James Taylor,Youve Got A Friend,"1,446","1,882,944",Chords,intermediate, G, 2nd fret, E A D G B E
Maroon 5,She Will Be Loved ,"2,681","1,880,762",Chords,novice, Am, 3rd fret, E A D G B E
Green Day,Boulevard Of Broken Dreams,179,"1,879,559",Tab,intermediate, Eb,No Capo, E A D G B E
Iron Maiden,The Trooper,451,"1,877,420",Tab,intermediate,Db,No Capo, E A D G B 
Death Cab for Cutie,I Will Follow You Into The Dark,521,"1,874,366",Tab,intermediate,Db, 5th fre, E A D G B E
James Blunt,Youre Beautiful,"1,044","1,874,444",Chords,intermediate, C, 3rd fret, E A D G B E
Taylor Swift,Red,"1,020","1,866,605",Chords,novice,Db, 4th fre,E A D G B E
Ben&Ben,Kathang Isip,714,"1,866,252",Chords,novice, Eb, 3rd fret, E A D G B E
Chris Tomlin,Here I Am To Worship,"1,817","1,864,100",Chords,intermediate, D, 2nd fret, E A D G B E
Simon & Garfunkel,Bridge Over Troubled Water ,"1,208","1,861,051",Chords,novice, Eb, 3rd fret, E A D G B E
The Beatles,Let It Be ,"2,940","1,860,107",Chords,intermediate, C,No Capo,E A D G B E
Janis Joplin,Me And Bobby Mcgee,"1,723","1,859,374",Chords,intermediate,Db,No Capo, E A D G B 
System of a Down,Toxicity,524,"1,852,061",Tab,intermediate,Db,No Capo, C G C F A 
Creed,One Last Breath,762,"1,849,780",Tab,intermediate,Db,No Capo, E A D G B 
Hoobastank,The Reason,667,"1,845,259",Chords,intermediate,Db,No Capo, E A D G B 
Goo Goo Dolls,Iris ,340,"1,844,782",Tab,intermediate,Db,No Capo, E A D G B 
Parokya ni Edgar,Your Song,292,"1,843,798",Chords,novice, B, 2nd fret, E A D G B E
Bob Marley,No Woman No Cry,"1,207","1,843,382",Chords,intermediate, C,No Capo, E A D G B E
Tenacious D,Fuck Her Gently,"1,837","1,842,907",Chords,intermediate,Db,No Capo,E A D G B E
Billie Eilish,Idontwannabeyouanymore,"4,586","1,842,378",Chords,intermediate, C,No Capo, E A D G B E
Wiz Khalifa,See You Again,"1,762","1,837,455",Chords,novice, Gm, 3rd fret, E A D G B E
Harry Styles,Sign Of The Times,"2,397","1,836,918",Chords,novice, F,No Capo, E A D G B E
The Righteous Brothers,Unchained Melody,"2,355","1,833,897",Chords,intermediate, C,No Capo, E A D G B E
Niall Horan,This Town,"3,598","1,832,503",Chords,intermediate, C, 2nd fret, E A D G B E
Stephen Speaks,Passenger Seat,118,"1,830,527",Chords,intermediate,Db,No Capo, E A D G B 
Muse,Hysteria,685,"1,823,282",Bass,advanced, Am,No Capo, E A D G
The Beatles,Blackbird ,"1,656","1,816,360",Chords,intermediate, G,No Capo, E A D G B E
Maroon 5,Payphone ,559,"1,814,332",Chords,intermediate,Db, 4th fre, E A D G B E
Budi Doremi,Tolong,186,"1,805,514",Chords,intermediate, A,No Capo, E A D G B E
Eagles,Hotel California ,"4,566","1,804,447",Chords,novice, A, 2nd fret, E A D G B E
Radiohead,No Surprises,"1,980","1,803,897",Chords,intermediate, F, 3rd fret, E A D G B E
This Band,Kahit Ayaw Mo Na,487,"1,799,898",Chords,novice, D,No Capo, E A D G B E
Blink-182,Dammit,872,"1,795,662",Tab,novice, C,No Capo, E A D G B E
The Smiths,There Is A Light That Never Goes Out,"1,406","1,790,828",Chords,intermediate, B, 4th fret, E A D G B E
Wiz Khalifa,See You Again ,598,"1,790,394",Chords,intermediate, Em, 3rd fret,E A D G B E
Cyndi Lauper,Time After Time ,685,"1,789,485",Chords,intermediate, F,No Capo, E A D G B E
Ed Sheeran,Photograph Intro ,"1,944","1,787,745",Tab,intermediate, C, 4th fret, E A D G B E
Kansas,Dust In The Wind ,"4,759","1,782,720",Chords,novice, C,No Capo, E A D G B E
Counting Crows,Accidentally In Love,"2,202","1,782,630",Chords,intermediate,Db,No Capo, E A D G B 
Green Day,Basket Case,442,"1,778,467",Tab,intermediate,Db,No Capo, Eb Ab Db Gb Bb E
Enrique Iglesias,Hero ,"1,159","1,775,426",Chords,novice, G,No Capo, E A D G B E
Maroon 5,Girls Like You,"1,606","1,774,881",Chords,novice, C,No Capo, E A D G B E
The Rolling Stones,Paint It Black,"2,084","1,774,191",Chords,novice, Em,No Capo, E A D G B E
Justin Timberlake,Mirrors ,679,"1,770,785",Chords,novice,Db, 1st fre, E A D G B E
The Chainsmokers,Closer ,"1,158","1,770,489",Chords,intermediate, C,No Capo, E A D G B E
Bing Crosby,White Christmas,"1,590","1,767,579",Chords,intermediate, G,No Capo, E A D G B E
All Time Low,Remembering Sunday,642,"1,765,620",Chords,intermediate,Db, 2nd fre,E A D G B E
Eraserheads,Ang Huling El Bimbo,568,"1,765,748",Chords,intermediate, G,No Capo,E A D G B E
Sublime,Santeria ,590,"1,762,062",Tab,intermediate,Db,No Capo, E A D G B 
Miley Cyrus,We Cant Stop ,542,"1,760,485",Chords,novice,Db, 4th fre, E A D G B E
Jack Johnson,Better Together ,511,"1,759,884",Chords,intermediate,Db, 3rd fre, E A D G B E
Nirvana,About A Girl Acoustic,"1,069","1,759,195",Chords,intermediate, Em,No Capo, E A D G B E
Sheryl Crow,Sweet Child O Mine,541,"1,758,686",Chords,intermediate, D,No Capo, E A D G B E
Tom Odell,Another Love,"1,355","1,758,720",Chords,novice, Em,No Capo, E A D G B E
Adele,Hello ,"2,585","1,757,925",Chords,novice, Em, 1st fret, E A D G B E
Rihanna,We Found Love,597,"1,753,963",Chords,intermediate, F, 6th fret, E A D G B E
ZZ Top,Sharp Dressed Man,128,"1,753,377",Tab,intermediate, Cm,No Capo, E A D G B E
Cory Asbury,Reckless Love ,"3,622","1,752,150",Chords,intermediate, Em,No Capo, Eb Ab Db Gb Bb Eb
Rivermaya,Kisapmata,275,"1,749,477",Chords,intermediate, D,No Capo,E A D G B E
Hozier,Take Me To Church,990,"1,741,763",Chords,intermediate, Em,No Capo, E A D G B E
Meghan Trainor,All About That Bass,531,"1,740,855",Chords,novice, A,No Capo, E A D G B E
Simple Plan,Welcome To My Life,879,"1,739,271",Chords,intermediate, Db, 1st fret, E A D G B E
Bon Jovi,Wanted Dead Or Alive ,"1,104","1,738,780",Chords,intermediate,Db,No Capo, E A D G B 
Evanescence,My Immortal Acoustic,833,"1,735,990",Chords,intermediate,Db,No Capo, E A D G B 
Eraserheads,Pare Ko,272,"1,735,894",Chords,intermediate, G,No Capo, E A D G B E
Nirvana,Come As You Are,407,"1,735,052",Chords,intermediate,Db,No Capo, D G C F A 
The Beatles,Youve Got To Hide Your Love Away ,"1,594","1,733,846",Chords,intermediate, G,No Capo, E A D G B E
Oasis,Half The World Away ,"2,043","1,732,471",Chords,novice, C,No Capo, E A D G B E
Alex & Sierra,Little Do You Know,"1,982","1,727,932",Chords,novice, Am,No Capo, E A D G B E
John Lennon,Imagine ,"1,187","1,726,726",Chords,intermediate, C,No Capo,E A D G B E
The Police,Every Breath You Take ,387,"1,726,263",Chords,intermediate, Ab,No Capo, Eb Ab Db Gb Bb Eb
Bon Jovi,Bed Of Roses,846,"1,726,091",Chords,novice, F,No Capo, E A D G B E
Maroon 5,Sugar ,604,"1,725,746",Chords,intermediate, Db, 1st fret, E A D G B E
Backstreet Boys,I Want It That Way ,"1,822","1,724,703",Chords,intermediate, F#m, 2nd fret, E A D G B E
Daniel Caesar,Best Part ,177,"1,722,123",Chords,novice, D,No Capo, E A D G B E
December Avenue,Kung Di Rin Lang Ikaw,474,"1,721,247",Chords,intermediate, E,No Capo, E A D G B E
Blink-182,Whats My Age Again,497,"1,719,251",Tab,intermediate, Gb,No Capo, E A D G B E
Bill Withers,Lean On Me,"2,861","1,719,343",Chords,intermediate, C,No Capo, E A D G B E
Billy Joel,Piano Man ,"2,941","1,719,300",Chords,intermediate, C,No Capo, E A D G B E
The Beatles,Day Tripper,687,"1,714,039",Tab,intermediate, A,No Capo, E A D G B E
Misc Soundtrack,The Wizard Of Oz - Somewhere Over The Rainbow,310,"1,711,592",Chords,intermediate, C,No Capo, E A D G B E
Sublime,Santeria,"1,815","1,706,744",Chords,intermediate,Db,No Capo, E A D G B 
My Chemical Romance,I Dont Love You,795,"1,706,142",Chords,intermediate, C,No Capo, E A D G B E
Eric Clapton,Tears In Heaven ,"1,398","1,705,684",Chords,intermediate, A, 2nd fret, E A D G B E
Blue Öyster Cult,Dont Fear The Reaper ,769,"1,705,574",Tab,intermediate, Am,No Capo, E A D G B E
Red Hot Chili Peppers,Otherside ,511,"1,704,252",Tab,intermediate,Db,No Capo, E A D G B 
Bon Iver,I Cant Make You Love Me,793,"1,700,193",Chords,novice, F,No Capo, E A D G B E
AC/DC,Hells Bells ,616,"1,699,381",Tab,intermediate,Db,No Capo,E A D G B E
Misc Soundtrack,Harry Potter - Hedwigs Theme Intro ,"1,092","1,698,733",Tab,intermediate,Db,No Capo, E A D G B 
Taylor Swift,Crazier ,820,"1,697,955",Chords,intermediate,Db, 2nd fre, E A D G B E
Paolo Nutini,Candy,"1,284","1,696,018",Chords,intermediate, Am,No Capo, E A D G B E
Tones And I,Dance Monkey,"1,615","1,691,859",Chords,intermediate, F#m,No Capo, E A D G B E
John Mayer,Slow Dancing In A Burning Room ,"1,260","1,688,013",Chords,intermediate, C#m,No Capo, E A D G B E
Fool's Garden,Lemon Tree,969,"1,686,008",Chords,intermediate, Fm, 1st fret, E A D G B E
Ed Sheeran,Im A Mess,"1,477","1,685,266",Chords,novice, Cm, 3rd fret, E A D G B E
twenty one pilots,House Of Gold,"3,299","1,683,105",Chords,intermediate, C,No Capo, E A D G B E
Fiersa Besari,April,62,"1,674,069",Chords,intermediate, D,No Capo, E A D G B E
Ronan Keating,When You Say Nothing At All ,"1,233","1,673,966",Chords,novice, G,No Capo, E A D G B E
Kevin Devine,You Are My Sunshine,216,"1,671,613",Chords,intermediate, A,No Capo,E A D G B E
Plain White T's,Hey There Delilah ,"2,399","1,666,682",Chords,novice, D, 2nd fret, E A D G B E
Misc Cartoons,Aladdin - A Whole New World ,801,"1,666,110",Chords,intermediate, C,No Capo, E A D G B E
Howie Day,Collide,202,"1,664,862",Chords,intermediate,Db, 4th fre, E A D G B E
Taylor Swift,All Too Well,"2,409","1,664,588",Chords,novice, C,No Capo, E A D G B E
Tamia,Officially Missing You,159,"1,662,567",Chords,intermediate,Db,No Capo, E A D G B 
Taio Cruz,Dynamite,395,"1,662,387",Chords,novice,Db, 4th fre,E A D G B E
Neutral Milk Hotel,In The Aeroplane Over The Sea,"2,236","1,662,069",Chords,intermediate, G,No Capo, E A D G B E
Bob Dylan,The Times They Are A-Changin,"3,139","1,661,422",Chords,intermediate, G,No Capo, E A D G B E
Rihanna,Take A Bow,529,"1,658,771",Chords,intermediate,Db, 4th fre, E A D G B E
Lord Huron,The Night We Met,"4,338","1,659,470",Chords,novice, F#m, 2nd fret, E A D G B E
Up Dharma Down,Tadhana ,132,"1,658,660",Chords,novice, G, 4th fret, E A D G B E
Taylor Swift,Breathe ,916,"1,657,132",Chords,novice,Db,No Capo, E A D G B 
Taylor Swift,Sparks Fly,730,"1,652,229",Chords,novice,Db, 5th fre, E A D G B E
Lynyrd Skynyrd,Sweet Home Alabama,241,"1,651,438",Tab,intermediate, D,No Capo, E A D G B E
Housefires,Good Good Father,"1,043","1,649,229",Chords,novice, G, 2nd fret, E A D G B E
Celine Dion,My Heart Will Go On ,689,"1,643,541",Chords,intermediate, D, 2nd fret,E A D G B E
Kansas,Carry On Wayward Son ,695,"1,642,877",Tab,intermediate, Am,No Capo, E A D G B E
Parokya ni Edgar,Gitara,172,"1,642,864",Chords,intermediate,Db,No Capo, E A D G B 
Misc Cartoons,Tangled - I See The Light,965,"1,642,513",Chords,intermediate, C,No Capo, E A D G B E
Yes,Roundabout,59,"1,641,919",Bass,intermediate,Db,No Capo,E A D G B E
Kelly Clarkson,Because Of You,265,"1,641,068",Chords,intermediate,Db, 1st fre, E A D G B E
David Bowie,Starman ,"2,372","1,637,974",Chords,intermediate, Gm,No Capo, E A D G B E
Frank Sinatra,Fly Me To The Moon ,486,"1,637,955",Chords,novice, Am,No Capo, E A D G B E
Anne-Marie,2002,"1,417","1,634,223",Chords,novice, E, 2nd fret, E A D G B E
Demi Lovato,Stone Cold,"1,746","1,632,764",Chords,intermediate, C, 1st fret, E A D G B E
Pearl Jam,Last Kiss,"2,952","1,632,704",Chords,intermediate,Db,No Capo, E A D G B 
Prince,Purple Rain,639,"1,631,943",Chords,intermediate, Bb,No Capo, E A D G B E
James Bay,Hold Back The River,"1,185","1,631,440",Chords,intermediate, Dm,No Capo, E A D G B E
The Red Jumpsuit Apparatus,Your Guardian Angel ,657,"1,629,347",Chords,novice, F,No Capo, E A D G B E
Rihanna,Umbrella,896,"1,629,116",Chords,intermediate, Bb, 1st fret, E A D G B E
Katy Perry,Thinking Of You,98,"1,628,216",Chords,novic,Db,No Capo,E A D G B E
System of a Down,Aerials,858,"1,627,234",Tab,intermediate, Cm,No Capo, C G C F A D
Cee Lo Green,Fuck You,527,"1,626,731",Chords,intermediate,Db,No Capo, E A D G B 
Taylor Swift,Safe And Sound,390,"1,626,077",Tab,intermediate,Db, 7th fre, E A D G B E
Lewis Capaldi,Before You Go,"2,606","1,627,821",Chords,novice, Eb, 1st fret, E A D G B E
Lana Del Rey,Blue Jeans,"1,414","1,623,155",Chords,novice,Db, 1st fre, E A D G B E
Taylor Swift,Enchanted ,866,"1,621,985",Chords,intermediate,Db, 1st fre, E A D G B E
Dixie Chicks,Landslide,"1,286","1,617,532",Chords,intermediate,Db, 7th fre, E A D G B E
Lady Gaga,Born This Way ,404,"1,615,154",Chords,novice, F#, 2nd fret, E A D G B E
Metallica,The Day That Never Comes ,547,"1,613,762",Tab,advance,Db,No Capo,E A D G B E
ZZ Top,La Grange,80,"1,607,988",Tab,intermediate,Db,No Capo, E A D G B 
Nirvana,The Man Who Sold The World ,347,"1,607,153",Chords,intermediate, A,No Capo, Eb Ab Db Gb Bb Eb
twenty one pilots,Heathens,"2,222","1,606,280",Chords,novice, Am,No Capo, E A D G B E
Elvis Presley,Suspicious Minds,"1,631","1,604,917",Chords,intermediate, G,No Capo, E A D G B E
Secondhand Serenade,Your Call,259,"1,602,024",Tab,intermediate,Db,No Capo, E A D G B 
Orange and Lemons,Hanggang Kailan,109,"1,596,197",Chords,intermediate, F,No Capo,E A D G B E
Ed Sheeran,Dive ,702,"1,594,205",Chords,novice, C, 4th fret, E A D G B E
Train,Drive By ,358,"1,592,755",Chords,intermediate,Db,No Capo, E A D G B 
Led Zeppelin,Stairway To Heaven Intro,796,"1,592,358",Tab,intermediate,Db,No Capo, E A D G B 
Eric Clapton,Layla Acoustic Live ,"1,962","1,590,718",Chords,intermediate, Dm,No Capo, E A D G B E
Westlife,I Lay My Love On You,49,"1,587,950",Chords,intermediate,Db,No Capo,E A D G B E
Van Morrison,Brown Eyed Girl ,"5,858","1,585,122",Chords,novice, G,No Capo, E A D G B E
Three Days Grace,Never Too Late,294,"1,581,151",Tab,novice, Bbm,No Capo, D A D G B E
Taylor Swift,Fearless ,627,"1,580,029",Chords,intermediate,Db, 3rd fre, E A D G B E
ZZ Top,La Grange ,346,"1,579,440",Tab,intermediate,Db,No Capo, E A D G B 
Taylor Swift,Forever And Always,750,"1,578,884",Chords,intermediate,Db, 3rd fre, E A D G B E
Rihanna,California King Bed,222,"1,578,188",Chords,novice,Db,No Capo, E A D G B 
Muse,Plug In Baby ,716,"1,577,641",Tab,intermediate,Db,No Capo,E A D G B E
Damien Rice,9 Crimes ,"1,285","1,576,120",Chords,novic,Db,No Capo,E A D G B E
Secondhand Serenade,Your Call,164,"1,574,276",Chords,intermediate,Db,No Capo,E A D G B E
twenty one pilots,Stressed Out,"1,745","1,571,809",Chords,novice, Am,No Capo, E A D G B E
Wheatus,Teenage Dirtbag,217,"1,571,124",Tab,intermediate, E,No Capo,E A D G B E
Billie Eilish,Wish You Were Gay Acoustic,"4,379","1,570,839",Chords,intermediate, Am,No Capo, E A D G B E
Foster the People,Pumped Up Kicks Acoustic,"1,120","1,569,292",Chords,novice, Bm, 7th fret, E A D G B E
The Red Jumpsuit Apparatus,Your Guardian Angel ,239,"1,567,073",Chords,intermediate,Db,No Capo,E A D G B E
John Lennon,Stand By Me,497,"1,563,364",Chords,intermediate, A, 2nd fret, E A D G B E
Metallica,Nothing Else Matters ,"1,934","1,563,336",Guitar Pro,novice, Em,No Capo, E A D G B E
Ed Sheeran,Drunk,786,"1,560,384",Chords,novice, G,No Capo, E A D G B E
Ray Charles,Hit The Road Jack,946,"1,560,534",Chords,intermediate, Am,No Capo, E A D G B E
One Direction,One Thing,544,"1,557,605",Chords,novice, D, 2nd fret, E A D G B E
Elvis Presley,Love Me Tender,585,"1,556,385",Chords,intermediate,Db,No Capo, E A D G B 
Joe Walsh,Lifes Been Good,75,"1,556,006",Tab,intermediate,Db,No Capo,E A D G B E
Britney Spears,Baby One More Time,"1,005","1,556,006",Chords,intermediate, Cm, 3rd fret, E A D G B E
Alex Clare,Too Close,944,"1,555,576",Chords,intermediate,Db,No Capo,E A D G B E
Avenged Sevenfold,So Far Away ,271,"1,553,819",Chords,intermediate,Db,No Capo, E A D G B 
Beyoncé,Halo,436,"1,544,713",Chords,intermediate,Db,No Capo,E A D G B E
Shontelle,Impossible,367,"1,543,499",Chords,novice,Db, 1st fre, E A D G B E
Neil Young,Down By The River,115,"1,542,321",Tab,intermediate,Db,No Capo, E A D G B 
Johnny Cash,I Walk The Line,658,"1,542,331",Chords,intermediate, Bb, 1st fret, E A D G B E
Oasis,Champagne Supernova,183,"1,542,555",Chords,intermediate, A,No Capo, E A D G B E
Miley Cyrus,When I Look At You ,645,"1,541,085",Chords,intermediate, Ebm, 1st fret, E A D G B E
Arijit Singh,Tum Hi Ho,365,"1,540,657",Chords,novice, Fm, 1st fret, E A D G B E
Howie Day,Collide,529,"1,539,537",Tab,intermediate,Db, 4th fre,E A D G B E
Nick Jonas,Introducing Me,"1,050","1,539,192",Chords,novice,Db, 4th fre, E A D G B E
Led Zeppelin,Stairway To Heaven ,952,"1,535,114",Chords,intermediate, Am,No Capo, E A D G B E
Ed Sheeran,Give Me Love ,148,"1,533,805",Chords,intermediate, Am, 1st fret, E A D G B E
Van Morrison,Brown Eyed Girl ,643,"1,532,512",Chords,intermediate,Db,No Capo, E A D G B 
Misc Traditional,Spanish Romance ,979,"1,532,493",Tab,intermediate, Em,No Capo, E A D G B E
The Beatles,A Day In The Life ,"2,418","1,529,839",Chords,intermediate, G,No Capo, E A D G B E
Guns N' Roses,Sweet Child O Mine ,"1,553","1,529,376",Guitar Pro,intermediate, D,No Capo, Eb Ab Db Gb Bb Eb
Alanis Morissette,Ironic,"1,735","1,529,306",Chords,novice, E,No Capo,E A D G B E
The Fray,Over My Head ,878,"1,528,311",Chords,intermediate, Db, 1st fret, E A D G B E
Rivermaya,214,334,"1,524,878",Chords,intermediate, G,No Capo, E A D G B E
Hillsong Worship,Mighty To Save ,502,"1,523,818",Chords,intermediate,Db, 2nd fre, E A D G B E
Pearl Jam,Yellow Ledbetter ,502,"1,522,833",Tab,intermediate,Db,No Capo,E A D G B E
Rivermaya,Hinahanap-Hanap Kita,193,"1,521,096",Chords,intermediate,Db,No Capo, E A D G B 
Michael Bublé,Everything,367,"1,516,528",Chords,novice,Db,No Capo, E A D G B 
Elton John,Rocket Man,"2,912","1,516,172",Chords,intermediate, Gm, 3rd fret, E A D G B E
Naif,Benci Untuk Mencinta ,44,"1,514,982",Chords,intermediate, D,No Capo, E A D G B E
Simon & Garfunkel,Mrs Robinson,699,"1,510,361",Chords,intermediate, A, 2nd fret, E A D G B E
Eagles,Hotel California ,330,"1,509,573",Tab,intermediate,Db,No Capo,E A D G B E
Paolo Nutini,Last Request,"1,438","1,509,559",Chords,intermediate,Db, 3rd fre, E A D G B E
Ariana Grande,Almost Is Never Enough ,216,"1,509,490",Chords,novice, D,No Capo, E A D G B E
Lifehouse,You And Me,464,"1,505,027",Tab,novic,Db,No Capo,E A D G B E
Lifehouse,You And Me ,"1,476","1,505,107",Chords,novice,Db,No Capo, E A D G B 
Westlife,More Than Words,193,"1,503,488",Chords,novice, C,No Capo, Eb Ab Db Gb Bb Eb
Elevation Worship,O Come To The Altar,"3,427","1,502,684",Chords,novice, B, 4th fret, E A D G B E
Arctic Monkeys,Do I Wanna Know Acoustic ,"1,934","1,501,916",Chords,novice, Gm, 3rd fret, E A D G B E
The Beatles,Here Comes The Sun,429,"1,500,967",Chords,intermediate, A, 7th fret, E A D G B E
Ed Sheeran,Thinking Out Loud ,463,"1,499,337",Tab,intermediate, D,No Capo, E A D G B E
System of a Down,Byob ,590,"1,498,055",Tab,intermediate,Db,No Capo, Db Ab Db Gb Bb E
Simon & Garfunkel,The Sound Of Silence ,705,"1,497,588",Chords,intermediate, Ebm, 6th fret,E A D G B E
Neil Young,Harvest Moon Album,34,"1,495,669",Chords,intermediate,Db,No Capo,E A D G B E
Eagles,Lyin Eyes,"2,961","1,490,357",Chords,novice, G,No Capo, E A D G B E
Pink Floyd,Wish You Were Here ,"2,383","1,490,060",Chords,intermediate, G,No Capo, E A D G B E
near (Indonesia),Karna Su Sayang,144,"1,487,052",Chords,intermediate, C,No Capo, E A D G B E
Paramore,Still Into You ,"1,264","1,484,150",Chords,novice, F, 5th fret, E A D G B E
Foo Fighters,Everlong ,471,"1,483,884",Tab,intermediate,Db,No Capo,E A D G B E
Side A,Forevermore,164,"1,482,392",Chords,novice,Db,No Capo, E A D G B 
3 Doors Down,Here Without You ,"1,501","1,481,503",Chords,intermediate, Bbm,No Capo, Eb Ab Db Gb Bb Eb
Luis Fonsi,Despacito ,148,"1,479,613",Chords,intermediate, Abm, 7th fret, E A D G B E
Ed Sheeran,Thinking Out Loud ,726,"1,477,723",Chords,novice, D,No Capo, E A D G B E
LP,Lost On You,"1,466","1,475,256",Chords,novice, A#m, 1st fret, E A D G B E
Queen,We Are The Champions,380,"1,472,586",Chords,intermediate, Cm,No Capo, E A D G B E
Bon Jovi,Always,223,"1,469,330",Chords,intermediate,Db,No Capo, E A D G B 
Soul Asylum,Runaway Train,"2,129","1,468,028",Chords,intermediate, C,No Capo, E A D G B E
MGMT,Kids,375,"1,466,889",Chords,intermediate,Db,No Capo, E A D G B 
Misc Soundtrack,The Greatest Showman - Rewrite The Stars ,888,"1,465,470",Chords,novice, Bb, 3rd fret, E A D G B E
Queen,Bohemian Rhapsody,74,"1,464,783",Tab,intermediate, Bb,No Capo, E A D G B E
Milow,You Dont Know,346,"1,463,095",Chords,intermediate,Db, 4th fre,E A D G B E
Rihanna,Fourfiveseconds ,477,"1,461,132",Chords,novice,Db,No Capo, E A D G B 
Emeli Sandé,Read All About It Part Iii,239,"1,460,108",Chords,novice,Db,No Capo, E A D G B 
Smash Mouth,All Star,"1,661","1,456,727",Chords,intermediate, F#,No Capo, Eb Ab Db Gb Bb Eb
Red Hot Chili Peppers,Snow Hey Oh,"1,069","1,455,270",Chords,intermediate, Abm, 4th fret, E A D G B E
ZZ Top,La Grange,54,"1,454,374",Bass,intermediate,Db,No Capo,E A D G B E
Bob Dylan,Blowin In The Wind ,231,"1,454,198",Chords,intermediate,Db,No Capo,E A D G B E
Sara Bareilles,Love Song,259,"1,453,321",Chords,intermediate,Db,No Capo, E A D G B 
Dewa 19,Risalah Hati,66,"1,452,793",Chords,novice, Am,No Capo, E A D G B E
Oasis,Champagne Supernova ,899,"1,452,346",Chords,intermediate,Db,No Capo,E A D G B E
Slipknot,Psychosocial,174,"1,451,376",Tab,intermediate,Db,No Capo, A E A D F# 
Lynyrd Skynyrd,Sweet Home Alabama,855,"1,449,989",Chords,novice, D,No Capo, E A D G B E
Katy Perry,The One That Got Away ,712,"1,449,120",Chords,novice, E, 4th fret, E A D G B E
Foo Fighters,The Pretender,628,"1,446,989",Tab,intermediat,Db,No Capo,E A D G B E
ZZ Top,Cheap Sunglasses,30,"1,446,693",Tab,intermediate,Db,No Capo, E A D G B 
Jason Mraz,I Wont Give Up,52,"1,446,632",Tab,intermediate,Db, 2nd fre,E A D G B E
Boston,More Than A Feeling,514,"1,446,604",Chords,intermediate, G,No Capo, E A D G B E
Jireh Lim,Buko,80,"1,443,514",Chords,intermediate,Db,No Capo,E A D G B E
ZZ Top,Waitin For The Bus,17,"1,442,989",Tab,intermediate,Db,No Capo, E A D G B 
Bon Jovi,Wanted Dead Or Alive,401,"1,440,378",Tab,intermediate,Db,No Capo,E A D G B E
ZZ Top,Sharp Dressed Man,49,"1,439,592",Bass,intermediate,Db,No Capo, E A D 
The Beatles,If I Fell,"1,267","1,437,995",Chords,intermediate, Ebm,No Capo, E A D G B E
One Direction,History,639,"1,435,107",Chords,intermediate, Gb, 1st fret, E A D G B E
Jesus Culture,One Thing Remains,709,"1,434,066",Chords,novice,Db, 4th fre,E A D G B E
Boys Like Girls,Thunder ,142,"1,432,738",Chords,intermediate,Db,No Capo,E A D G B E
The Cranberries,Zombie ,89,"1,432,376",Tab,intermediate, Em,No Capo,E A D G B E
Hillsong United,Lead Me To The Cross,571,"1,431,878",Chords,intermediate,Db,No Capo, E A D G B 
Neil Young,The Needle And The Damage Done,40,"1,428,513",Tab,intermediate,Db,No Capo,E A D G B E
The Band Perry,If I Die Young ,"1,204","1,426,297",Chords,novice,Db, 2nd fre, E A D G B E
Passenger,Let Her Go ,352,"1,425,660",Chords,intermediate,Db, 7th fre, E A D G B E
Mark Ronson,Uptown Funk,296,"1,424,939",Chords,intermediate, Dm,No Capo, E A D G B E
Green Day,Holiday ,949,"1,424,614",Tab,intermediate,Db,No Capo, E A D G B 
Rachel Platten,Fight Song,"1,581","1,424,478",Chords,novice, G,No Capo, E A D G B E
ZZ Top,Legs,18,"1,424,065",Tab,intermediate,Db,No Capo,E A D G B E
Paramore,Misery Business ,640,"1,422,616",Chords,intermediate,Db, 1st fre, E A D G B E
Milow,Ayo Technology,151,"1,422,145",Chords,novice,Db, 7th fre, E A D G B E
Neil Young,Unplugged Album,17,"1,422,094",Chords,intermediate,Db,No Capo,E A D G B E
Sting,Shape Of My Heart Acoustic,444,"1,421,271",Tab,intermediate, F#m,No Capo, E A D G B E
Vance Joy,Riptide,"2,552","1,420,729",Chords,novice, Bbm, 6th fret, E A D G B E
Bill Withers,Lean On Me,78,"1,419,838",Bass,intermediate,Db,No Capo,E A D G B E
Tom Petty,Free Fallin ,"1,881","1,420,041",Chords,novice, D, 3rd fret, E A D G B E
Young MC,Bust A Move,29,"1,418,099",Bass,intermediate,Db,No Capo,E A D G B E
ZZ Top,Tush,29,"1,416,815",Bass,intermediate,Db,No Capo,E A D G B E
ZZ Top,Gimme All Your Lovin,28,"1,416,394",Bass,intermediate,Db,No Capo,E A D G B E
Misc Soundtrack,The Greatest Showman - This Is Me,"1,287","1,415,916",Chords,intermediate, D,No Capo, E A D G B E
Guns N' Roses,Dont Cry ,"1,419","1,414,794",Chords,novice,Db,No Capo, Eb Ab Db Gb Bb E
Of Monsters and Men,Dirty Paws,"1,414","1,413,299",Chords,intermediate,Db, 3rd fre, E A D G B E
Neil Young,Heart Of Gold,31,"1,412,704",Bass,intermediate,Db,No Capo,E A D G B E
